número de nodos,total de operações
1858,60608394
1859,60673553
1860,60738752
1861,60803981
1862,60869250
1863,60934549
1864,60999888
1865,61065257
1866,61130666
1867,61196105
1868,61261584
1869,61327093
1870,61392642
1871,61458221
1872,61523840
1873,61589489
1874,61655178
1875,61720897
1876,61786656
1877,61852445
1878,61918274
1879,61984133
1880,62050032
1881,62115961
1882,62181930
1883,62247929
1884,62313968
1885,62380037
1886,62446146
1887,62512285
1888,62578464
1889,62644673
1890,62710922
1891,62777201
1892,62843520
1893,62909869
1894,62976258
1895,63042677
1896,63109136
1897,63175625
1898,63242154
1899,63308713
1900,63375312
1901,63441941
1902,63508610
1903,63575309
1904,63642048
1905,63708817
1906,63775626
1907,63842465
1908,63909344
1909,63976253
1910,64043202
1911,64110181
1912,64177200
1913,64244249
1914,64311338
1915,64378457
1916,64445616
1917,64512805
1918,64580034
1919,64647293
1920,64714592
1921,64781921
1922,64849290
1923,64916689
1924,64984128
1925,65051597
1926,65119106
1927,65186645
1928,65254224
1929,65321833
1930,65389482
1931,65457161
1932,65524880
1933,65592629
1934,65660418
1935,65728237
1936,65796096
1937,65863985
1938,65931914
1939,65999873
1940,66067872
1941,66135901
1942,66203970
1943,66272069
1944,66340208
1945,66408377
1946,66476586
1947,66544825
1948,66613104
1949,66681413
1950,66749762
1951,66818141
1952,66886560
1953,66955009
1954,67023498
1955,67092017
1956,67160576
1957,67229165
1958,67297794
1959,67366453
1960,67435152
1961,67503881
1962,67572650
1963,67641449
1964,67710288
1965,67779157
1966,67848066
1967,67917005
1968,67985984
1969,68054993
1970,68124042
1971,68193121
1972,68262240
1973,68331389
1974,68400578
1975,68469797
1976,68539056
1977,68608345
1978,68677674
1979,68747033
1980,68816432
1981,68885861
1982,68955330
1983,69024829
1984,69094368
1985,69163937
1986,69233546
1987,69303185
1988,69372864
1989,69442573
1990,69512322
1991,69582101
1992,69651920
1993,69721769
1994,69791658
1995,69861577
1996,69931536
1997,70001525
1998,70071554
1999,70141613
2000,70211712
2001,70281841
2002,70352010
2003,70422209
2004,70492448
2005,70562717
2006,70633026
2007,70703365
2008,70773744
2009,70844153
2010,70914602
2011,70985081
2012,71055600
2013,71126149
2014,71196738
2015,71267357
2016,71338016
2017,71408705
2018,71479434
2019,71550193
2020,71620992
2021,71691821
2022,71762690
2023,71833589
2024,71904528
2025,71975497
2026,72046506
2027,72117545
2028,72188624
2029,72259733
2030,72330882
2031,72402061
2032,72473280
2033,72544529
2034,72615818
2035,72687137
2036,72758496
2037,72829885
2038,72901314
2039,72972773
2040,73044272
2041,73115801
2042,73187370
2043,73258969
2044,73330608
2045,73402277
2046,73473986
2047,73545725
2048,73617512
2049,73689329
2050,73761186
2051,73833073
2052,73905000
2053,73976957
2054,74048954
2055,74120981
2056,74193048
2057,74265145
2058,74337282
2059,74409449
2060,74481656
2061,74553893
2062,74626170
2063,74698477
2064,74770824
2065,74843201
2066,74915618
2067,74988065
2068,75060552
2069,75133069
2070,75205626
2071,75278213
2072,75350840
2073,75423497
2074,75496194
2075,75568921
2076,75641688
2077,75714485
2078,75787322
2079,75860189
2080,75933096
2081,76006033
2082,76079010
2083,76152017
2084,76225064
2085,76298141
2086,76371258
2087,76444405
2088,76517592
2089,76590809
2090,76664066
2091,76737353
2092,76810680
2093,76884037
2094,76957434
2095,77030861
2096,77104328
2097,77177825
2098,77251362
2099,77324929
2100,77398536
2101,77472173
2102,77545850
2103,77619557
2104,77693304
2105,77767081
2106,77840898
2107,77914745
2108,77988632
2109,78062549
2110,78136506
2111,78210493
2112,78284520
2113,78358577
2114,78432674
2115,78506801
2116,78580968
2117,78655165
2118,78729402
2119,78803669
2120,78877976
2121,78952313
2122,79026690
2123,79101097
2124,79175544
2125,79250021
2126,79324538
2127,79399085
2128,79473672
2129,79548289
2130,79622946
2131,79697633
2132,79772360
2133,79847117
2134,79921914
2135,79996741
2136,80071608
2137,80146505
2138,80221442
2139,80296409
2140,80371416
2141,80446453
2142,80521530
2143,80596637
2144,80671784
2145,80746961
2146,80822178
2147,80897425
2148,80972712
2149,81048029
2150,81123386
2151,81198773
2152,81274200
2153,81349657
2154,81425154
2155,81500681
2156,81576248
2157,81651845
2158,81727482
2159,81803149
2160,81878856
2161,81954593
2162,82030370
2163,82106177
2164,82182024
2165,82257901
2166,82333818
2167,82409765
2168,82485752
2169,82561769
